8?,15B,F,Public Health,Integrative Biology,Chem 1A,Math 1A,Anthro 3AC,CompLit R1B,
8?,16B,M,Computer Science,,CompSci 61A,Math 54,Anthro 121AC,,
8?,26B,sea slug,Mechanical Engineering,,,,,,
8B,21B,M,Civil Engineering,,CivEng 30,CivEng 60,Physics 7B,CivEng 100,Sociology 3AC
8C,42,F,MCB,,Chem 3A,Math 1B,PubHealth 116,Psych 1,
8C,42A,F,History,,Astronomy C10,Chinese 1A,History,English,
8C,42B,F,Chemistry,,Chem 4A,Japan 1A,Math 1A,L&S 1,
8C,42E,M,Computer Science,Applied Math,CompSci 70,CompSci 61C,L&S C140V,MCB C62,
8C,42E,M,Economics,,Econ 101B,GPP 115,Stats 20,Sociology 198BC,
8C,42G,M,EECS,,IntegBio 35AC,ElecEng 16A,Math 54,CompSci 61A,
8C,42G,M,Computer Science,,CompSci 61A,Math 1A,EALng C120,MechEng 24,
8C,42H,F,Bioengineering,,Math 53,Chem 1A,Chem 1A,Classics R44,BioEng 10
8C,42J,M,Energy Engineering,,Math 53,Chem 1A,EnvEcon C1,Eng 93,
8C,42K,M,Applied Math,,Math 54,Econ 1,Music 20B,UGBA 10,Chem 1A
8D,46,M,Political Science,Business,Math 16A,Psych 1,ESPM 50AC,PolSci 2,
8D,24B,M,EECS,,CompSci 61A,ElecEng 16A,Physics 7B,R4B,
8D,26B,M,Chemical Engineering,Nuclear Engineering,Chem 4A,Math 1A,ChemEng 40,IntegBio 35AC,
8D,26D,M,Statistics,Computer Science,Math 104,CompSci 188,Math 110,Linguistics R1B,
8D,34A,M,Energy Engineering,,Physics 7A,Math 53,Anthro 2AC,Eng 93,PolEcon 24
8D,34B,M,EECS,,CompSci 61A,Math 53,CompLit R1B,Physics 7B,Eng 98
8D,34E,F,Computer Science,Linguistics,Math 54,CompSci 61A,Linguistics 100,IEOR 24,
8D,34F,M,MCB,Computer Science,Math 1A,Chem 1A,CompSci 10,Anthro 2AC,BioEng 24
8D,44A,F,ISF,PACS,CompLit R1B,History 12,Geography 10,English 98BC,
